Timestamp,How long do you spend listening to music a day?,How many favourite artists do you have?,How many songs do you have in your playlist?,Please select all the music genres you enjoy.,Do you keep music on as background music? (While working or just chilling)
4/2/2022 13:52:37,2 to 4 hours,3,761,"Pop, EDM, Classical",Yes
4/2/2022 13:55:46,Less than 1 hour,10,10,Classical,Yes
4/2/2022 14:13:18,2 to 4 hours,1,8000000,"Pop, Classical",Yes
4/2/2022 14:32:58,1 to 2 hours,2,21,Pop,Yes
4/2/2022 14:37:10,1 to 2 hours,3,328,"Pop, Classical",No
4/2/2022 14:43:34,5 hours or more,50,1318,"Pop, Jazz, Classical, Metal",Yes
4/2/2022 14:47:33,1 to 2 hours,5,200,"Pop, EDM, Jazz, Classical",Yes
4/2/2022 14:53:11,5 hours or more,5,23,"Pop, EDM, Metal",Yes
4/2/2022 14:55:53,2 to 4 hours,2,120,EDM,Yes
4/2/2022 14:56:58,1 to 2 hours,5,120,"Pop, Classical",No
4/2/2022 18:02:43,5 hours or more,5,1896,"EDM, Classical",Yes
4/2/2022 18:35:28,1 to 2 hours,0,200,Pop,Yes
4/2/2022 20:24:43,Less than 1 hour,1,50,"Pop, Jazz",Yes
4/2/2022 20:31:40,5 hours or more,4,25,"Classical, Metal",Yes
4/2/2022 20:55:55,1 to 2 hours,5,20,"Pop, EDM",Yes
4/2/2022 20:55:55,2 to 4 hours,12,256,"Pop, Classical",Yes
4/2/2022 21:06:38,1 to 2 hours,3,15,"Pop, Classical",Yes
4/2/2022 21:07:49,2 to 4 hours,13,819,Classical,Yes
4/3/2022 10:33:57,1 to 2 hours,3,23,"Jazz, Classical",Yes
4/3/2022 11:38:10,1 to 2 hours,1,0,"Pop, EDM, Jazz, Classical, Metal",Yes
4/3/2022 15:42:51,2 to 4 hours,4,294,"Pop, Jazz",Yes
